team_name,season,wins,losses,sos,points_for,points_against,AP_preseason,fg_pct,3pt_pct,ft_pct,opp_fg_pct,opp_3pt_pct,opp_ft_pct,O_reb,D_reb,opp_O_reb,opp_D_reb,turnover,opp_turnover,ppg,opp_ppg,OUTCOME
Belmont,2010-11,30,5,-4.42,79.7,62.2,None,87,164,225,80,29,111,163,129,264,59,316,158,82,187,Lost Second Round
Boise State,2014-15,25,9,1.38,70.3,60.1,None,99,66,21,226,197,198,141,138,10,145,31,181,49,146,Lost First Round
Boise State,2012-13,21,11,5.27,73.2,65.5,None,202,172,174,286,320,80,240,269,1,59,22,245,167,153,Lost First Round
Boston University,2010-11,21,14,-3.85,64.9,63.5,None,286,81,57,71,81,109,108,25,264,344,265,51,99,185,Lost Second Round
Brigham Young,2014-15,25,10,5.02,83.7,73.2,None,69,127,197,138,153,259,19,8,270,337,160,87,3,328,Lost First Round
Brigham Young,2013-14,23,12,5.72,83.7,77.3,None,57,180,60,136,146,74,38,9,215,341,174,64,12,249,Lost Second Round
Brigham Young,2011-12,26,9,1.55,77.9,67.4,None,102,92,10,77,81,147,59,4,265,343,93,25,7,172,Lost Second Round
Brigham Young,2010-11,32,5,5.76,81.4,67.9,24,12,2,1,58,128,149,174,9,200,292,104,14,2,127,Lost Regional Semifinal
Bucknell,2012-13,28,6,-1.96,67.0,57.8,None,62,16,4,25,174,273,260,14,19,140,117,297,149,36,Lost Second Round
Bucknell,2010-11,25,9,-3.87,70.2,63.9,None,284,231,45,173,336,313,238,234,62,173,18,259,219,170,Lost Second Round
Buffalo,2015-16,20,15,0.90,77.4,75.3,None,169,187,80,133,109,42,46,69,241,266,87,77,30,229,Lost First Round
Buffalo,2014-15,23,10,1.60,74.6,68.3,None,147,214,134,106,32,85,172,264,112,12,74,221,90,103,Lost Second Round
Butler,2015-16,22,11,7.55,79.9,71.0,24,190,121,201,99,26,114,58,79,34,207,76,121,134,43,Lost Second Round
Butler,2014-15,23,11,8.62,69.0,61.0,None,241,279,298,236,26,129,209,244,22,186,9,261,241,80,Lost Third Round
Butler,2012-13,27,9,6.08,69.3,63.9,None,293,335,296,66,28,88,21,56,115,324,289,48,267,29,Lost Third Round
Butler,2010-11,28,10,5.02,71.2,64.1,17,133,176,27,90,60,122,205,30,94,286,220,27,180,9,Lost National Final
Cal Poly,2013-14,14,20,1.69,63.0,63.6,None,220,40,70,312,273,197,215,299,10,96,1,276,238,83,Lost Second Round
Cal State Bakersfield,2015-16,24,9,-5.15,72.9,63.8,None,258,204,71,88,282,200,128,149,22,73,183,202,272,49,Lost First Round
Chattanooga,2015-16,29,6,-3.46,75.8,67.5,None,85,149,207,166,186,137,122,204,204,103,217,121,51,178,Lost First Round
Cincinnati,2015-16,22,11,5.25,73.3,63.3,None,102,233,252,15,63,14,101,120,278,10,257,182,300,6,Lost First Round
Cincinnati,2014-15,23,11,4.40,62.1,55.8,None,262,215,148,19,59,58,21,195,222,59,105,31,247,4,Lost Third Round
Cincinnati,2013-14,27,7,5.28,68.4,58.4,None,305,276,304,14,34,38,10,58,216,206,174,125,198,22,Lost Second Round
Cincinnati,2012-13,22,12,6.93,66.5,59.0,24,244,179,304,68,82,130,14,65,331,337,86,52,171,40,Lost Second Round
Cincinnati,2011-12,26,11,6.28,68.2,61.5,21,160,197,245,58,58,224,24,129,161,143,83,71,164,9,Lost Regional Semifinal
Cincinnati,2010-11,26,9,6.10,68.9,59.6,None,208,332,317,79,170,172,12,33,189,254,225,222,176,131,Lost Third Round
Clemson,2010-11,22,12,6.58,68.5,61.4,None,78,175,267,118,10,125,71,154,223,136,274,19,76,72,Lost Second Round
Coastal Carolina,2014-15,24,10,-6.18,71.7,62.4,None,202,200,199,31,65,142,33,33,239,261,329,89,127,129,Lost Second Round
Coastal Carolina,2013-14,21,13,-6.31,72.3,68.4,None,133,293,286,100,204,165,84,286,44,5,116,148,185,90,Lost Second Round
Colorado,2015-16,22,12,7.64,75.8,70.8,None,164,207,101,138,233,252,73,48,163,185,291,242,137,221,Lost First Round
Colorado,2013-14,23,12,8.80,70.2,68.2,None,175,149,204,52,83,170,127,66,227,161,189,192,165,98,Lost Second Round
Colorado,2012-13,21,12,7.95,67.6,63.6,None,121,148,172,36,95,14,190,9,204,293,258,155,187,70,Lost Second Round
Colorado,2011-12,24,12,5.73,67.5,63.0,None,19,51,5,257,280,246,31,13,328,292,194,49,13,297,Lost Third Round
Colorado State,2012-13,26,9,5.89,72.9,63.7,None,32,7,6,194,234,242,312,179,61,29,96,271,120,206,Lost Third Round
Colorado State,2011-12,20,12,5.23,70.1,68.0,None,34,219,172,160,126,222,236,160,113,93,211,158,102,170,Lost Second Round
Connecticut,2015-16,25,11,6.28,73.1,63.5,20,150,124,116,35,123,128,203,64,257,210,170,232,263,25,Lost Second Round
Connecticut,2013-14,32,8,8.63,71.8,63.2,18,119,168,34,60,65,154,311,241,295,55,37,226,111,139,Won National Final
Connecticut,2011-12,20,14,8.07,68.7,64.5,4,185,240,11,11,79,110,1,1,345,338,246,96,75,84,Lost Second Round
Connecticut,2010-11,32,9,10.44,72.4,64.9,None,91,295,171,16,58,253,29,37,340,128,311,225,147,135,Won National Final
Creighton,2013-14,27,8,7.17,78.7,67.9,None,2,2,9,76,56,103,279,10,194,140,203,281,30,84,Lost Third Round
Creighton,2012-13,28,8,5.16,74.4,63.2,16,2,3,58,223,268,85,237,11,102,154,129,309,9,244,Lost Third Round
Creighton,2011-12,29,6,3.41,79.2,69.7,None,55,60,58,185,193,102,144,5,222,300,253,303,167,91,Lost Third Round
Davidson,2014-15,24,8,3.19,79.0,69.4,None,21,56,120,317,245,211,250,200,40,220,108,152,28,255,Lost Second Round
Davidson,2012-13,26,8,-3.45,73.2,62.1,None,119,208,12,149,170,61,61,47,71,194,58,221,14,201,Lost Second Round
Davidson,2011-12,25,8,-1.68,77.9,67.8,None,182,175,52,178,128,236,62,110,77,176,247,188,72,200,Lost Second Round
Dayton,2015-16,25,8,4.76,72.5,65.9,None,58,116,204,112,81,85,328,52,180,316,206,33,165,41,Lost First Round
Dayton,2014-15,27,9,4.06,67.8,60.8,None,64,54,240,172,115,228,58,50,183,267,280,61,132,90,Lost Third Round
Dayton,2013-14,26,11,5.34,72.2,67.0,None,17,20,96,207,253,239,197,238,63,13,223,169,64,176,Lost Regional Final
Delaware,2013-14,25,10,-1.10,79.5,75.7,None,222,296,14,96,210,98,121,59,299,204,135,317,133,234,Lost Second Round
Detroit Mercy,2011-12,22,14,-0.01,72.1,67.6,None,42,129,192,144,124,117,88,63,307,71,325,96,43,283,Lost Second Round
Duke,2015-16,25,11,10.59,81.1,72.5,5,3,30,148,126,42,169,20,4,333,274,227,37,6,111,Lost Regional Semifinal
Duke,2014-15,35,4,9.87,79.3,64.2,4,81,15,71,270,22,137,44,159,194,211,22,120,29,105,Won National Final
Duke,2013-14,26,9,8.48,78.4,67.4,4,19,6,39,115,9,317,214,50,308,303,60,55,11,136,Lost Second Round
Duke,2012-13,30,6,9.54,77.2,65.3,8,79,58,132,182,67,158,71,66,282,212,114,172,16,224,Lost Regional Final
